type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-13 08:00:00,SELL,580.43,0.6891442551212072,40.00000000000023,0.01600000000000009,49.984,594.9407499999999,551.4084999999999,,,
exit,2025-03-13 08:30:00,,574.94,0.6891442551212072,,0.01584866392157548,93.751553296694,,,3.76755329669378,9.418883241734397,signal_reversal
entry,2025-03-13 08:30:00,BUY,574.94,1.3045055594906427,75.00124263735502,0.03000049705494201,93.72155279963906,560.5665,603.6870000000001,,,
exit,2025-03-13 09:45:00,,579.41,1.3045055594906427,,0.030233742648978934,174.52370154526815,,,5.800906108274082,7.7344133300864675,signal_reversal
entry,2025-03-13 09:45:00,SELL,579.41,2.409674690395661,139.61896123621497,0.05584758449448599,174.46785396077368,593.8952499999999,550.4395,,,
exit,2025-03-13 13:00:00,,593.8952499999999,2.409674690395661,,0.05724377410684814,279.1248311138282,,,-34.96198408316048,-25.04099999999992,stop_loss
entry,2025-03-13 14:00:00,SELL,590.97,3.778531311082855,223.2998648910635,0.0893199459564254,279.03551116787173,605.74425,561.4215,,,
exit,2025-03-13 17:45:00,,572.11,3.778531311082855,,0.08646942193534449,573.5120071640226,,,71.17663110508735,31.87491006311659,signal_reversal
entry,2025-03-13 17:45:00,BUY,572.11,8.019604721665697,458.8096057312162,0.1835238422924865,573.3284833217301,557.80725,600.7155,,,
exit,2025-03-13 23:30:00,,578.6,8.019604721665697,,0.1856057316782309,1083.9997179648785,,,51.861628911932215,11.303518554124222,signal_reversal
entry,2025-03-13 23:30:00,SELL,578.6,14.987897932456061,867.1997743719078,0.34687990974876315,1083.6528380551297,593.0649999999999,549.67,,,
exit,2025-03-14 06:15:00,,580.19,14.987897932456061,,0.3478331400572673,1926.6740215743746,,,-24.178590852662882,-2.7881223643277426,signal_reversal
entry,2025-03-14 06:15:00,BUY,580.19,26.566111399015725,1541.3392172594936,0.6165356869037975,1926.0574858874709,565.68525,609.1995000000001,,,
exit,2025-03-14 13:45:00,,582.33,26.566111399015725,,0.6188097460395531,3523.6293717948183,,,56.232668647853735,3.648299350212837,signal_reversal
entry,2025-03-14 13:45:00,SELL,582.33,48.407320547384955,2818.9034974358683,1.1275613989743474,3522.501810395844,596.88825,553.2135000000001,,,
exit,2025-03-15 07:15:00,,590.29,48.407320547384955,,1.1429742898366346,5954.940061984695,,,-386.4652458470171,-13.709772122335998,signal_reversal
entry,2025-03-15 07:15:00,BUY,590.29,80.70528129542693,4763.952049587756,1.9055808198351025,5953.034481164859,575.53275,619.8045,,,
exit,2025-03-15 09:30:00,,596.0,80.70528129542693,,1.9240139060829782,11175.889673043423,,,458.90314229080775,9.632824543868331,signal_reversal
entry,2025-03-15 09:30:00,SELL,596.0,150.01194192004618,8940.711738434753,3.5762846953739014,11172.31338834805,610.9,566.1999999999999,,,
exit,2025-03-15 17:00:00,,610.9,150.01194192004618,,3.6656918127582485,17874.18150036136,,,-2238.843626421443,-25.040999999999958,stop_loss
entry,2025-03-16 01:15:00,BUY,614.56,232.6761455397204,14299.345200289055,5.719738080115622,17868.461762281244,599.1959999999999,645.288,,,
exit,2025-03-16 10:15:00,,599.1959999999999,232.6761455397204,,5.576744628112732,28587.393917869915,,,-3580.413044700385,-25.039000000000062,stop_loss
entry,2025-03-16 13:45:00,BUY,596.24,383.5689509978505,22869.91513429584,9.147966053718337,28578.245951816196,581.334,626.052,,,
exit,2025-03-16 16:00:00,,603.61,383.5689509978505,,9.261042180472502,54265.80321278572,,,2817.6421266736875,12.320299879243265,signal_reversal
entry,2025-03-16 16:00:00,SELL,603.61,719.2167553590674,43412.64257022867,17.36505702809147,54248.438155757634,618.70025,573.4295,,,
exit,2025-03-16 19:15:00,,599.23,719.2167553590674,,17.23905025255256,100794.01106420647,,,3132.9303382201592,7.21663126853431,signal_reversal
entry,2025-03-16 19:15:00,BUY,599.23,1345.6470612513538,80635.20885136488,32.254083540545956,100761.75698066592,584.24925,629.1915,,,
exit,2025-03-17 00:00:00,,604.75,1345.6470612513538,,32.55120241167025,188792.38640772656,,,7395.420575695778,9.171453365151914,signal_reversal
entry,2025-03-17 00:00:00,SELL,604.75,2497.4602583907645,151033.90912618148,60.4135636504726,188731.97284407608,619.86875,574.5124999999999,,,
exit,2025-03-17 02:45:00,,619.86875,2497.4602583907645,,61.92390274173441,301945.4807859705,,,-37820.401184287046,-25.040999999999965,stop_loss
entry,2025-03-17 08:00:00,SELL,630.82,3829.2442317741493,241556.38462877693,96.62255385151077,301848.858232119,646.5905,599.279,,,
exit,2025-03-17 12:15:00,,629.21,3829.2442317741493,,96.37595052298451,549473.9501235294,,,6068.707262633448,2.5123356900542366,signal_reversal
entry,2025-03-17 12:15:00,BUY,629.21,6986.207468076184,439579.16009882157,175.83166403952865,549298.1184594899,613.47975,660.6705000000001,,,
exit,2025-03-17 22:30:00,,628.72,6986.207468076184,,175.69473437315435,985278.342164581,,,-3598.9363937305484,-0.8187231607889404,signal_reversal
entry,2025-03-17 22:30:00,SELL,628.72,12536.942895592105,788222.6737316668,315.2890694926667,984963.0530950882,644.438,597.284,,,
exit,2025-03-18 01:45:00,,623.74,12536.942895592105,,312.79171046786485,1835306.910736336,,,62121.18390958105,7.881171904822526,signal_reversal
