type,date,side,price,intended_price,slippage_pct,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reinvested,reason
entry,2025-03-18 16:30:00,SELL,123.43377098305929,123.61,0.14256857611900384,0.8101510567454391,10.0,0.004,49.996,126.70024999999998,113.72120000000001,,,,
exit,2025-03-18 20:15:00,,123.74892037525115,123.66,0.07190714479310156,0.8101510567454391,,0.004010212744524677,59.736671174138564,,,-0.25932882586143946,-2.5932882586143946,0.0,signal_reversal
entry,2025-03-18 20:15:00,BUY,123.81474798061248,123.66,0.12513988404695803,0.9649362801835599,11.947334234827714,0.004778933693931086,59.73189224044463,120.5685,133.55280000000002,,,,
exit,2025-03-18 22:50:00,,124.76286719924072,124.89,0.10179582092985458,0.9649362801835599,,0.004815528679210833,71.90674125110095,,,0.9100591033144623,7.617256581485315,0.6825443274858467,signal_reversal
entry,2025-03-18 22:50:00,SELL,124.79937521374175,124.89,0.07256368504944154,1.1523573916607757,14.381348250220192,0.005752539300088077,71.90098871180086,128.01225,114.89880000000001,,,,
exit,2025-03-19 01:10:00,,125.13482512742289,125.06,0.05983138287452701,1.1523573916607757,,0.005768001627590574,85.89001077283105,,,-0.3923261891900114,-2.728020922405551,0.0,signal_reversal
entry,2025-03-19 01:10:00,BUY,125.1616332960155,125.06,0.08126762835078538,1.372465483407292,17.17800215456621,0.006871200861826485,85.88313957196922,121.9335,135.06480000000002,,,,
exit,2025-03-19 03:10:00,,124.87127555454875,125.06,0.15090712094295575,1.372465483407292,,0.006855260622706356,102.65578048790951,,,-0.4053612386259183,-2.3597694014618935,0.0,signal_reversal
entry,2025-03-19 03:10:00,SELL,124.99453094900295,125.06,0.0523501127435286,1.6425643539522938,20.531156097581903,0.008212462439032762,102.64756802547048,128.1865,115.05520000000001,,,,
exit,2025-03-19 05:10:00,,125.91370566846382,125.75,0.1301834341660583,1.6425643539522938,,0.008272854584202382,121.66064763922765,,,-1.5180764838247263,-7.394013647402548,0.0,signal_reversal
entry,2025-03-19 05:10:00,BUY,125.91596802918318,125.75,0.13198252817748218,1.9324101548586867,24.33212952784553,0.009732851811138213,121.65091478741651,122.60625,135.81,,,,
exit,2025-03-19 06:10:00,,126.05051502082166,126.29,0.18963099151029206,1.9324101548586867,,0.00974325181005613,146.0456084955465,,,0.25025672113784325,1.028503160199978,0.18769254085338244,signal_reversal
entry,2025-03-19 06:10:00,SELL,126.13705785552585,126.29,0.12110392309300118,2.3156653719135165,29.209121699109303,0.011683648679643721,146.03392484686685,129.44725,116.1868,,,,
exit,2025-03-19 07:45:00,,125.83935104911313,125.76,0.06309720826426202,2.3156653719135165,,0.011656073105940004,175.4124798633479,,,0.6777332694869554,2.320279522501432,0.5082999521152166,signal_reversal
entry,2025-03-19 07:45:00,BUY,125.89414299333816,125.76,0.10666586620399873,2.7866662529746136,35.082495972669584,0.014032998389067835,175.39844686495883,122.616,135.82080000000002,,,,
exit,2025-03-19 09:05:00,,126.08356509247564,126.26,0.13973935333784962,2.7866662529746136,,0.014054112635917196,210.60939335227795,,,0.5138020585980927,1.464553887495238,0.3853515439485695,signal_reversal
entry,2025-03-19 09:05:00,SELL,126.12011603771394,126.26,0.11079040257093407,3.33982238470664,42.121878670455594,0.016848751468182238,210.59254460080976,129.41649999999998,116.15920000000001,,,,
exit,2025-03-19 11:40:00,,129.49006222702212,129.41649999999998,0.05684145918190732,3.33982238470664,,0.017298952336914572,241.44210260062013,,,-11.272320670645216,-26.761201129786393,0.0,stop_loss
entry,2025-03-19 11:45:00,SELL,128.39118453048658,128.47,0.0613493185283935,3.7610386333539827,48.28842052012403,0.01931536820804961,241.42278723241208,131.68175,118.1924,,,,
exit,2025-03-19 12:35:00,,127.36848451416814,127.15,0.1718320992277891,3.7610386333539827,,0.019161511637181394,290.66802094255314,,,3.8272527600682142,7.925818899943559,2.8704395700511607,signal_reversal
entry,2025-03-19 12:35:00,BUY,127.30735626153421,127.15,0.123756399161779,4.56639788113137,58.13360418851063,0.023253441675404253,290.6447675008777,123.97125,137.322,,,,
exit,2025-03-19 13:15:00,,128.85913940776712,129.06,0.15563349777847138,4.56639788113137,,0.023536884046241584,350.5440022861101,,,7.062522386887076,12.148777777454393,5.296891790165307,signal_reversal
entry,2025-03-19 13:15:00,SELL,128.96017146355368,129.06,0.0773504853915382,5.436469233994154,70.10880045722203,0.028043520182888814,350.5159587659272,132.2865,118.7352,,,,
exit,2025-03-19 14:05:00,,132.36800170571834,132.2865,0.06160999476011738,5.436469233994154,,0.02878458275353694,402.06941037419267,,,-18.55534884895658,-26.466504530024604,0.0,stop_loss
