type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-13 09:45:00,BUY,2.5025,79.92007992008011,20.00000000000005,0.008000000000000021,49.992,2.4399375,2.627625,,,
exit,2025-03-13 17:30:00,,2.524,79.92007992008011,,0.008068731268731288,71.70221298701304,,,1.7102129870129972,8.551064935064964,signal_reversal
entry,2025-03-13 17:30:00,SELL,2.524,113.63266717434728,28.68088519480525,0.0114723540779221,71.69074063293512,2.5871,2.3977999999999997,,,
exit,2025-03-14 04:15:00,,2.5023,113.63266717434728,,0.011373720922814766,102.82608098450089,,,2.454455156760527,8.557808240887502,signal_reversal
entry,2025-03-14 04:15:00,BUY,2.5023,164.3705087071907,41.13043239380033,0.01645217295752013,102.80962881154338,2.4397425,2.627415,,,
exit,2025-03-14 21:30:00,,2.524,164.3705087071907,,0.016594846559077975,147.49030639773068,,,3.550245192386969,8.631674859129621,signal_reversal
entry,2025-03-14 21:30:00,SELL,2.524,233.740580662014,58.99612255909233,0.023598449023636933,147.46670794870704,2.5871,2.3977999999999997,,,
exit,2025-03-15 13:00:00,,2.5022,233.740580662014,,0.02339462723729966,211.53498053899392,,,5.072150031194563,8.597429477020532,signal_reversal
entry,2025-03-15 13:00:00,BUY,2.5022,338.1583894796475,84.61399221559739,0.033845596886238956,211.50113494210768,2.439645,2.6273100000000005,,,
exit,2025-03-15 16:30:00,,2.5241,338.1583894796475,,0.034141823635423126,303.48665406367377,,,7.371526905968717,8.711947885860278,signal_reversal
entry,2025-03-15 16:30:00,SELL,2.5241,480.94236213093706,121.39466162546981,0.048557864650187924,303.43809619902356,2.5872024999999996,2.3978949999999997,,,
exit,2025-03-15 22:15:00,,2.5022,480.94236213093706,,0.04813655914096124,435.31725899601975,,,10.484501171526363,8.636706945049559,signal_reversal
entry,2025-03-15 22:15:00,BUY,2.5022,695.8952265942272,174.12690359840755,0.06965076143936302,435.24760823458035,2.439645,2.6273100000000005,,,
exit,2025-03-16 01:30:00,,2.5247,695.8952265942272,,0.07027706714329782,624.9618773642147,,,15.587365531226789,8.951727279993591,signal_reversal
entry,2025-03-16 01:30:00,SELL,2.5247,990.1562599345943,249.98475094568704,0.09999390037827482,624.8618834638364,2.5878175,2.398465,,,
exit,2025-03-16 06:15:00,,2.5022,990.1562599345943,,0.09910275974433369,897.0260474983074,,,22.179413088784003,8.872306412643072,signal_reversal
entry,2025-03-16 06:15:00,BUY,2.5022,1433.9797737963481,358.8104189993222,0.14352416759972889,896.8825233307077,2.439645,2.6273100000000005,,,
exit,2025-03-16 09:30:00,,2.5248,1433.9797737963481,,0.1448204853152408,1287.9560647325118,,,32.26312240248184,8.991690512349026,signal_reversal
entry,2025-03-16 09:30:00,SELL,2.5248,2040.4880619970208,515.1824258930078,0.20607297035720312,1287.7499917621547,2.5879199999999996,2.39856,,,
exit,2025-03-16 19:00:00,,2.502,2040.4880619970208,,0.20421204524466183,1849.2513334234502,,,46.31891576828773,8.990779467680671,signal_reversal
entry,2025-03-16 19:00:00,BUY,2.502,2956.4369838904136,739.7005333693814,0.2958802133477526,1848.9554532101024,2.43945,2.6271,,,
exit,2025-03-17 04:45:00,,2.5249,2956.4369838904136,,0.2985883096249963,2656.0598052009504,,,67.40381862146656,9.112311750599666,signal_reversal
entry,2025-03-17 04:45:00,SELL,2.5249,4207.786138383226,1062.4239220803806,0.42496956883215226,2655.634835632118,2.5880225,2.398655,,,
exit,2025-03-17 12:30:00,,2.5012,4207.786138383226,,0.42098058757296497,3817.3623086046096,,,99.30355089211065,9.3468858172602,signal_reversal
entry,2025-03-17 12:30:00,BUY,2.5012,6104.849366071642,1526.9449234418391,0.6107779693767357,3816.751530635233,2.4386699999999997,2.62626,,,
exit,2025-03-18 09:15:00,,2.5249,6104.849366071642,,0.6165653665757717,5487.764818686396,,,144.06836460932385,9.435072765072878,signal_reversal
entry,2025-03-18 09:15:00,SELL,2.5249,8693.83313190447,2195.10592747456,0.878042370989824,5486.886776315407,2.5880225,2.398655,,,
