type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-11 00:15:00,BUY,2.5238,141.50996796214343,17.857142857142883,0.007142857142857153,49.99285714285714,2.4531336,2.7357992,,,
exit,2025-03-11 02:00:00,,2.5025,141.50996796214343,,0.00708257389650528,64.82875510850985,,,-3.0212448914901744,-16.918971392344954,signal_reversal
entry,2025-03-11 02:00:00,SELL,2.5025,185.03997462112167,23.15312682446785,0.00926125072978714,64.81949385778006,2.57257,2.29229,,,
exit,2025-03-11 02:15:00,,2.5238,185.03997462112167,,0.009340077758975739,84.02192914505903,,,-3.9506915371888853,-17.063317482517558,signal_reversal
entry,2025-03-11 02:15:00,BUY,2.5238,237.7988100286958,30.007831837521127,0.012003132735008451,84.00992601232403,2.4531336,2.7357992,,,
exit,2025-03-11 02:30:00,,2.5025,237.7988100286958,,0.011901830441936224,108.94074136579198,,,-5.07701648405318,-16.918971392344954,signal_reversal
entry,2025-03-11 02:30:00,SELL,2.5025,310.94831273238816,38.907407630640066,0.015562963052256027,108.92517840273972,2.57257,2.29229,,,
exit,2025-03-11 05:15:00,,2.5238,310.94831273238816,,0.015695427033480026,141.1936915451464,,,-6.638894488233378,-17.06331748251756,signal_reversal
entry,2025-03-11 05:15:00,BUY,2.5238,399.6062953402086,50.42631840898092,0.02017052736359237,141.1735210177828,2.4531336,2.7357992,,,
exit,2025-03-11 08:30:00,,2.5025,399.6062953402086,,0.02000029508177744,183.06822504093546,,,-8.53161438582826,-16.918971392344957,signal_reversal
entry,2025-03-11 08:30:00,SELL,2.5025,522.5295420035275,65.38150894319138,0.026152603577276553,183.04207243735817,2.57257,2.29229,,,
exit,2025-03-11 09:00:00,,2.5238,522.5295420035275,,0.02637520116217005,237.2673269347122,,,-11.156254445837355,-17.063317482517558,signal_reversal
entry,2025-03-11 09:00:00,BUY,2.5238,671.5138366598908,84.73833104811162,0.033895332419244646,237.23343160229297,2.4531336,2.7357992,,,
exit,2025-03-11 10:15:00,,2.5024,671.5138366598908,,0.03360792449715422,307.56775862138585,,,-14.404004029018726,-16.99821538949193,signal_reversal
entry,2025-03-11 10:15:00,SELL,2.5024,877.9222193020012,109.84562807906639,0.043938251231626556,307.5238203701542,2.5724672,2.2921984,,,
exit,2025-03-11 10:30:00,,2.5238,877.9222193020012,,0.04431400194148781,398.53759895421643,,,-18.831849495004192,-17.14392263427099,signal_reversal
entry,2025-03-11 10:30:00,BUY,2.5238,1127.9408571944148,142.3348567693632,0.05693394270774528,398.4806650115087,2.4531336,2.7357992,,,
exit,2025-03-11 11:15:00,,2.5024,1127.9408571944148,,0.056451184020866074,516.6211362528907,,,-24.194385527981186,-16.99821538949193,signal_reversal
entry,2025-03-11 11:15:00,SELL,2.5024,1474.6447303528346,184.50754866174668,0.07380301946469868,516.547333233426,2.5724672,2.2921984,,,
exit,2025-03-11 16:15:00,,2.5238,1474.6447303528346,,0.07443416740928968,669.4230504982129,,,-31.63183139695975,-17.14392263427099,signal_reversal
entry,2025-03-11 16:15:00,BUY,2.5238,1894.6006885824486,239.07966089221918,0.09563186435688768,669.327418633856,2.4531336,2.7357992,,,
exit,2025-03-11 19:15:00,,2.5024,1894.6006885824486,,0.0948209752621744,867.7678038151489,,,-40.63927571092631,-16.99821538949193,signal_reversal
entry,2025-03-11 19:15:00,SELL,2.5024,2476.958701975101,309.91707279112467,0.12396682911644988,867.6438369860325,2.5724672,2.2921984,,,
exit,2025-03-11 20:15:00,,2.5238,2476.958701975101,,0.12502696744089523,1124.4289665874494,,,-53.13194318970772,-17.14392263427099,signal_reversal
entry,2025-03-11 20:15:00,BUY,2.5238,3182.35814074992,401.5817737812324,0.16063270951249298,1124.2683338779368,2.4531336,2.7357992,,,
exit,2025-03-11 22:30:00,,2.5024,3182.35814074992,,0.15927066022825204,1457.5883727868932,,,-68.26173487227611,-16.99821538949193,signal_reversal
entry,2025-03-11 22:30:00,SELL,2.5024,4160.5440856403375,520.567275995319,0.20822691039812763,1457.3801458764951,2.5724672,2.2921984,,,
exit,2025-03-12 00:30:00,,2.5238,4160.5440856403375,,0.21000762326678168,1888.7017708158446,,,-89.24565105596943,-17.14392263427099,signal_reversal
